# Seconds of Week            X-ECEF            Y-ECEF            Z-ECEF        VX        VY        VZ     Pitch      Roll       Yaw      GyroBiasX      GyroBiasY      GyroBiasZ      AcceBiasX      AcceBiasY      AcceBiasZ         
#             (s)               (m)               (m)               (m)     (m/s)     (m/s)     (m/s)     (deg)     (deg)     (deg)        (deg/h)        (deg/h)        (deg/h)           (mg)           (mg)           (mg)
     358457.002500      -2267408.338       5008839.624       3222008.178     0.001     0.001    -0.001    0.5172    0.7403   35.9605        -0.7663         0.2908        -0.0130        -0.0208         0.0143         1.5854
     358458.002500      -2267408.339       5008839.628       3222008.186    -0.001    -0.000     0.002    0.5136    0.7422   35.9603        -0.5576         0.2759        -0.0121        -0.0208         0.0143         1.5843
     358459.002500      -2267408.338       5008839.629       3222008.189     0.000     0.000     0.002    0.5150    0.7396   35.9603        -0.6196         0.3207        -0.0129        -0.0208         0.0143         1.5861
     358460.002500      -2267408.340       5008839.633       3222008.192    -0.001    -0.000     0.001    0.5150    0.7440   35.9602        -0.6189         0.1666        -0.0105        -0.0208         0.0143         1.5852
     358461.002500      -2267408.339       5008839.636       3222008.193    -0.000     0.001    -0.002    0.5169    0.7411   35.9601        -0.7822         0.2244        -0.0116        -0.0208         0.0143         1.5862
     358462.002500      -2267408.342       5008839.641       3222008.196    -0.001     0.002    -0.001    0.5142    0.7440   35.9583        -0.7417         0.2049        -0.0113        -0.0208         0.0143         1.5853
     358463.002500      -2267408.348       5008839.644       3222008.202    -0.003    -0.000     0.001    0.5113    0.7434   35.9575        -0.5651         0.1939        -0.0113        -0.0208         0.0144         1.5847
     358464.002500      -2267408.349       5008839.646       3222008.208    -0.000    -0.001     0.002    0.5128    0.7420   35.9540        -0.5353         0.4175        -0.0155        -0.0208         0.0144         1.5862
     358465.002500      -2267408.350       5008839.645       3222008.210     0.002    -0.001     0.001    0.5164    0.7377   35.9554        -0.6508         0.4868        -0.0169        -0.0209         0.0143         1.5891
     358466.002500      -2267408.351       5008839.649       3222008.211     0.001     0.000    -0.002    0.5220    0.7401   35.9573        -0.7837         0.3399        -0.0149        -0.0208         0.0143         1.5886
     358467.002500      -2267408.351       5008839.647       3222008.208     0.002     0.000    -0.003    0.5209    0.7404   35.9590        -0.7535         0.2986        -0.0142        -0.0208         0.0143         1.5900
     358468.002500      -2267408.355       5008839.647       3222008.211    -0.001    -0.001    -0.002    0.5131    0.7402   35.9576        -0.5429         0.2703        -0.0130        -0.0208         0.0144         1.5892
     358469.002500      -2267408.359       5008839.651       3222008.211    -0.002     0.001    -0.002    0.5174    0.7458   35.9575        -0.6238         0.1926        -0.0121        -0.0208         0.0144         1.5871
     358470.002500      -2267408.358       5008839.650       3222008.212     0.000    -0.001    -0.002    0.5144    0.7430   35.9592        -0.5324         0.4032        -0.0161        -0.0208         0.0144         1.5901
     358471.002500      -2267408.357       5008839.648       3222008.210     0.001    -0.002    -0.003    0.5154    0.7394   35.9610        -0.5667         0.4465        -0.0167        -0.0209         0.0144         1.5927
     358472.002500      -2267408.356       5008839.649       3222008.212     0.002    -0.003    -0.002    0.5138    0.7405   35.9623        -0.5001         0.5003        -0.0182        -0.0209         0.0144         1.5930
     358473.002500      -2267408.356       5008839.653       3222008.213     0.002    -0.002    -0.003    0.5150    0.7394   35.9608        -0.5315         0.4849        -0.0178        -0.0209         0.0144         1.5930
     358474.002500      -2267408.353       5008839.655       3222008.214     0.004    -0.002    -0.002    0.5168    0.7385   35.9612        -0.4988         0.5951        -0.0202        -0.0209         0.0144         1.5945
     358475.002500      -2267408.353       5008839.661       3222008.218     0.003    -0.001    -0.001    0.5171    0.7398   35.9634        -0.4428         0.5334        -0.0188        -0.0209         0.0144         1.5924
     358476.002500      -2267408.355       5008839.668       3222008.222    -0.000    -0.001    -0.001    0.5160    0.7407   35.9646        -0.3773         0.3902        -0.0160        -0.0208         0.0144         1.5907
     358477.002500      -2267408.355       5008839.677       3222008.225     0.001     0.001    -0.002    0.5194    0.7288   35.9674        -0.4056         0.3641        -0.0158        -0.0208         0.0144         1.5897
     358478.002500      -2267408.351       5008839.683       3222008.229     0.001    -0.000    -0.000    0.5155    0.7239   35.9627        -0.3655         0.4413        -0.0176        -0.0208         0.0145         1.5896
     358479.002500      -2267408.349       5008839.688       3222008.235     0.001    -0.001    -0.000    0.5135    0.7271   35.9637        -0.2391         0.4418        -0.0179        -0.0208         0.0145         1.5896
     358480.002500      -2267408.348       5008839.694       3222008.239     0.001    -0.000     0.000    0.5138    0.7282   35.9627        -0.2088         0.3897        -0.0169        -0.0208         0.0145         1.5889
     358481.002500      -2267408.348       5008839.699       3222008.238    -0.000     0.000    -0.002    0.5137    0.7283   35.9649        -0.2907         0.2790        -0.0141        -0.0207         0.0145         1.5899
     358482.002500      -2267408.348       5008839.700       3222008.239    -0.001    -0.002    -0.002    0.5147    0.7283   35.9666        -0.1972         0.2270        -0.0134        -0.0207         0.0145         1.5915
     358483.002500      -2267408.345       5008839.704       3222008.243     0.002    -0.001    -0.001    0.5138    0.7247   35.9668        -0.1903         0.3876        -0.0171        -0.0207         0.0145         1.5912
     358484.002500      -2267408.342       5008839.705       3222008.240     0.002    -0.001    -0.003    0.5152    0.7268   35.9654        -0.2379         0.2936        -0.0144        -0.0207         0.0145         1.5926
     358485.002500      -2267408.339       5008839.705       3222008.242     0.003    -0.002    -0.001    0.5134    0.7272   35.9651        -0.1721         0.3629        -0.0166        -0.0206         0.0145         1.5938
     358486.002500      -2267408.336       5008839.709       3222008.241     0.003    -0.001    -0.004    0.5167    0.7292   35.9684        -0.2484         0.3185        -0.0148        -0.0206         0.0144         1.5936
     358487.002500      -2267408.339       5008839.714       3222008.247     0.000    -0.002    -0.001    0.5104    0.7299   35.9657        -0.0529         0.2715        -0.0163        -0.0207         0.0145         1.5915
     358488.002500      -2267408.340       5008839.714       3222008.250    -0.000    -0.003     0.000    0.5099    0.7292   35.9658         0.0025         0.2729        -0.0173        -0.0207         0.0145         1.5918
     358489.002500      -2267408.342       5008839.716       3222008.254     0.001    -0.002     0.001    0.5097    0.7250   35.9681        -0.0110         0.3078        -0.0182        -0.0207         0.0146         1.5912
     358490.002500      -2267408.343       5008839.716       3222008.257     0.000    -0.003     0.001    0.5087    0.7258   35.9694         0.0021         0.2750        -0.0171        -0.0207         0.0146         1.5917
     358491.002500      -2267408.344       5008839.721       3222008.260     0.001    -0.001     0.000    0.5100    0.7274   35.9675        -0.0998         0.2348        -0.0149        -0.0208         0.0145         1.5907
     358492.002500      -2267408.347       5008839.732       3222008.267     0.000     0.002     0.002    0.5121    0.7272   35.9631        -0.1490         0.2456        -0.0150        -0.0209         0.0146         1.5869
     358493.002500      -2267408.348       5008839.739       3222008.269    -0.000     0.003     0.001    0.5147    0.7296   35.9623        -0.2079         0.1866        -0.0126        -0.0209         0.0146         1.5863
     358494.002500      -2267408.348       5008839.743       3222008.268     0.000     0.004    -0.002    0.5185    0.7336   35.9631        -0.2762         0.1523        -0.0108        -0.0208         0.0145         1.5880
     358495.002500      -2267408.350       5008839.747       3222008.274     0.000     0.002     0.001    0.5128    0.7314   35.9631        -0.1287         0.2317        -0.0151        -0.0209         0.0146         1.5875
     358496.002500      -2267408.355       5008839.753       3222008.277    -0.001     0.003     0.001    0.5136    0.7316   35.9617        -0.1151         0.1598        -0.0147        -0.0209         0.0146         1.5871
     358497.002500      -2267408.358       5008839.759       3222008.282     0.001     0.003     0.002    0.5131    0.7313   35.9609        -0.1024         0.2545        -0.0165        -0.0210         0.0146         1.5866
     358498.002500      -2267408.361       5008839.762       3222008.284    -0.001     0.002     0.000    0.5135    0.7325   35.9583        -0.0728         0.1829        -0.0156        -0.0209         0.0146         1.5882
     358499.002500      -2267408.368       5008839.769       3222008.292    -0.002     0.002     0.003    0.5105    0.7316   35.9580         0.0387         0.1770        -0.0179        -0.0210         0.0147         1.5868
     358500.002500      -2267408.376       5008839.773       3222008.298    -0.004     0.001     0.003    0.5110    0.7322   35.9563         0.0832         0.0943        -0.0163        -0.0210         0.0147         1.5868
     358501.002500      -2267408.379       5008839.775       3222008.297    -0.003     0.002    -0.001    0.5144    0.7322   35.9553        -0.0288         0.0949        -0.0142        -0.0209         0.0146         1.5888
     358502.002500      -2267408.379       5008839.782       3222008.301     0.001     0.003     0.001    0.5147    0.7275   35.9559        -0.0644         0.2660        -0.0191        -0.0209         0.0146         1.5884
     358503.002500      -2267408.376       5008839.782       3222008.303     0.004     0.002     0.001    0.5129    0.7233   35.9557        -0.0269         0.3615        -0.0225        -0.0209         0.0145         1.5907
     358504.002500      -2267408.377       5008839.781       3222008.307     0.002    -0.001     0.002    0.5101    0.7267   35.9568         0.0710         0.2846        -0.0212        -0.0208         0.0145         1.5918
     358505.002500      -2267408.382       5008839.786       3222008.310     0.001     0.001     0.000    0.5128    0.7311   35.9558         0.0279         0.1579        -0.0176        -0.0208         0.0145         1.5907
     358506.002500      -2267408.383       5008839.783       3222008.310     0.001    -0.001    -0.000    0.5118    0.7324   35.9550         0.0662         0.1845        -0.0187        -0.0208         0.0145         1.5929
     358507.002500      -2267408.384       5008839.778       3222008.309     0.001    -0.003    -0.002    0.5114    0.7346   35.9554         0.0870         0.2060        -0.0199        -0.0207         0.0145         1.5952
     358508.002500      -2267408.387       5008839.774       3222008.306     0.000    -0.003    -0.004    0.5115    0.7372   35.9543         0.0635         0.1558        -0.0172        -0.0206         0.0145         1.5962
     358509.002500      -2267408.391       5008839.767       3222008.307    -0.002    -0.007    -0.002    0.5074    0.7355   35.9540         0.2021         0.1569        -0.0241        -0.0206         0.0145         1.5972
     358510.002500      -2267408.396       5008839.763       3222008.304    -0.003    -0.006    -0.003    0.5084    0.7380   35.9557         0.1551         0.1354        -0.0209        -0.0206         0.0145         1.5975
     358511.002500      -2267408.404       5008839.765       3222008.307    -0.005    -0.004    -0.002    0.5060    0.7410   35.9563         0.1491         0.1511        -0.0212        -0.0207         0.0145         1.5946
     358512.002500      -2267408.408       5008839.769       3222008.313    -0.004    -0.002     0.001    0.5057    0.7384   35.9543         0.1381         0.3178        -0.0293        -0.0208         0.0146         1.5921
     358513.002500      -2267408.414       5008839.774       3222008.320    -0.003    -0.000     0.002    0.5066    0.7326   35.9543         0.0897         0.4216        -0.0326        -0.0209         0.0146         1.5901
     358514.002500      -2267408.417       5008839.777       3222008.323    -0.002     0.001     0.002    0.5085    0.7322   35.9529         0.0270         0.4502        -0.0318        -0.0209         0.0146         1.5903
     358515.002500      -2267408.424       5008839.782       3222008.325    -0.004     0.002     0.000    0.5108    0.7354   35.9533        -0.0175         0.3897        -0.0281        -0.0209         0.0146         1.5899
     358516.002500      -2267408.426       5008839.783       3222008.329    -0.003     0.001     0.002    0.5076    0.7334   35.9534         0.0187         0.4836        -0.0317        -0.0209         0.0146         1.5906
     358517.002500      -2267408.427       5008839.782       3222008.327    -0.001    -0.000    -0.001    0.5115    0.7324   35.9545        -0.0646         0.5297        -0.0321        -0.0208         0.0145         1.5928
     358518.002500      -2267408.427       5008839.789       3222008.329     0.001     0.003    -0.000    0.5154    0.7333   35.9572        -0.1280         0.5895        -0.0331        -0.0209         0.0145         1.5916
     358519.002500      -2267408.428       5008839.798       3222008.335     0.000     0.003    -0.000    0.5164    0.7306   35.9569        -0.0919         0.6334        -0.0343        -0.0209         0.0146         1.5902
     358520.002500      -2267408.428       5008839.803       3222008.329     0.001     0.005    -0.005    0.5209    0.7312   35.9551        -0.2349         0.5687        -0.0325        -0.0209         0.0145         1.5921
     358521.002500      -2267408.428       5008839.802       3222008.328     0.003     0.002    -0.003    0.5167    0.7323   35.9563        -0.0813         0.5955        -0.0330        -0.0208         0.0145         1.5941
     358522.002500      -2267408.429       5008839.803       3222008.327     0.002     0.000    -0.004    0.5139    0.7326   35.9546        -0.0210         0.6175        -0.0337        -0.0208         0.0145         1.5949
     358523.002500      -2267408.436       5008839.809       3222008.334     0.001    -0.001     0.003    0.5003    0.7273   35.9576         0.0982         0.5586        -0.0335        -0.0209         0.0145         1.5928
     358524.002500      -2267408.439       5008839.816       3222008.339     0.001     0.001     0.002    0.4969    0.7308   35.9576         0.0767         0.6310        -0.0364        -0.0209         0.0146         1.5917
